# Relative energy density vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Density refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
28,2.98433258450227e-13,7.37539103885612e-11,1.54650775825128e-10,9.08378369409062e-11,3.71079041120482e-11,1.3955107535802e-11,5.23517470705757e-12,2.00416239788659e-12,7.90357754015285e-13,3.23324017163083e-13
29,1.71155534890727e-13,5.34901074585489e-11,1.21257651806957e-10,7.44784080559190e-11,3.13933264408429e-11,1.21438000115532e-11,4.70276082343652e-12,1.87245336598299e-12,7.74946553194405e-13,3.35371846715738e-13
30,7.72002476716495e-14,3.85637787526605e-11,1.05788778050397e-10,7.21101150816012e-11,3.25011143328945e-11,1.32356966948142e-11,5.37151093690148e-12,2.24210003314365e-12,9.74116609532782e-13,4.4248495262785e-13
31,2.90724017704575e-14,2.46737796652822e-11,8.61587558830313e-11,6.75757788308562e-11,3.34017622702104e-11,1.45685244448959e-11,6.26123843549841e-12,2.75095446688502e-12,1.25196453135491e-12,5.92422731787025e-13
32,1.03757878426969e-14,1.54318812315925e-11,7.08346707768709e-11,6.58532935505564e-11,3.65997157317776e-11,1.74231809787878e-11,8.03589525368235e-12,3.74873241562652e-12,1.79584791864765e-12,8.86977018843588e-13
33,3.16123821531663e-15,8.45434304648457e-12,5.24250171424138e-11,5.93337265474561e-11,3.79384868529816e-11,2.00570035077995e-11,1.0041207979284e-11,5.00282328043277e-12,2.52622752085016e-12,1.30015041637094e-12
34,9.03377274505955e-16,4.45202625680567e-12,3.81623105144612e-11,5.3307614699725e-11,3.94253563690946e-11,2.3144749078976e-11,1.25301661304147e-11,6.62614245216447e-12,3.50061064006248e-12,1.86332061163909e-12
35,2.53861399462785e-16,2.35051520876584e-12,2.81039967335038e-11,4.84763538874822e-11,4.13230948660643e-11,2.67975578966614e-11,1.55918680735353e-11,8.69412893434254e-12,4.77573987400908e-12,2.61535572882443e-12
36,6.35442053642409e-17,1.13619719560067e-12,1.91114168534962e-11,4.0716194255357e-11,3.99543524271929e-11,2.85615040672746e-11,1.77996582374477e-11,1.04197261783195e-11,5.92342258950333e-12,3.32301900783287e-12
37,1.21581356815643e-17,4.06961715625942e-13,9.97649571830199e-12,2.70024292006299e-11,3.09753985861967e-11,2.45579325498953e-11,1.64121379189756e-11,1.00802630227981e-11,5.9260400274169e-12,3.40445119793456e-12
38,2.61639076855072e-18,1.3739753426723e-13,4.69614196055916e-12,1.59242640865435e-11,2.12342193216598e-11,1.86141310153366e-11,1.33159589897417e-11,8.57402302630872e-12,5.21273039002203e-12,3.0687276411497e-12
39,6.84759993874107e-19,5.03529992121664e-14,2.24406485905679e-12,9.22333062135638e-12,1.40443656959328e-11,1.34746883187469e-11,1.02566868109368e-11,6.89956825121852e-12,4.32997825863645e-12,2.61001100052604e-12
40,1.80856823554261e-19,1.87529480578621e-14,1.06840779684573e-12,5.22611152818047e-12,8.97365254687299e-12,9.3470736035208e-12,7.53125151630631e-12,5.27520035228383e-12,3.41017569391177e-12,2.10210367601388e-12
41,5.13661596286932e-20,7.28551085688898e-15,5.06145172270492e-13,2.88958814118583e-12,5.56380901202336e-12,6.29200856302485e-12,5.37850975151941e-12,3.93454821118804e-12,2.62820328840048e-12,1.66164007320748e-12
42,1.40206608826212e-20,2.96323785643478e-15,2.489697131121e-13,1.59789263829418e-12,3.34733703884392e-12,4.03249263431633e-12,3.61662440496462e-12,2.74553472719009e-12,1.88817169449895e-12,1.22196230328684e-12
43,4.00708589615375e-21,1.19881187607122e-15,1.17034701642987e-13,8.29575047742963e-13,1.87621307539686e-12,2.40241753964266e-12,2.26249231379412e-12,1.78648526971317e-12,1.26858908018185e-12,8.42927650284739e-13
44,8.50963597356626e-22,4.46545291195635e-16,5.63780734659895e-14,4.53346088712035e-13,1.10532122432687e-12,1.4922099173043e-12,1.46388525507334e-12,1.1946593281567e-12,8.71826895698339e-13,5.9279938262904e-13
45,1.72415833631958e-22,1.71159462990377e-16,2.89167422582679e-14,2.6992743097092e-13,7.17867850854719e-13,1.02636692660355e-12,1.04994509859396e-12,8.85357191474638e-13,6.63621058214804e-13,4.61510765667057e-13
46,2.83936873084649e-23,6.82599215587354e-17,1.62068344274071e-14,1.77537845844665e-13,5.14651641376081e-13,7.75469725798948e-13,8.22368994897844e-13,7.12649632877716e-13,5.46203672384243e-13,3.87189306957638e-13
47,4.75927997617261e-24,2.6748862872354e-17,9.00429132434263e-15,1.18816827047171e-13,3.84352923894221e-13,6.20746427132759e-13,6.90076312075934e-13,6.18971467979005e-13,4.87338694728206e-13,3.53214981308794e-13
48,7.54639105018268e-25,9.18287398788056e-18,4.35286297206771e-15,6.99589329231386e-14,2.5597503261917e-13,4.48280859325411e-13,5.27046487647392e-13,4.92475110175377e-13,4.00184598370208e-13,2.97586226849107e-13
49,1.10297153425498e-25,2.86254557302878e-18,1.93119056970762e-15,3.83322004864546e-14,1.6098122730309e-13,3.09883372153321e-13,3.89792128442438e-13,3.82977447651564e-13,3.23535223310135e-13,2.48222975881871e-13
50,1.51514905718227e-26,8.73726267110082e-19,8.53167090242591e-16,2.11777286127293e-14,1.03208862263032e-13,2.20436447368646e-13,2.98935608937437e-13,3.10700854606952e-13,2.74144322769522e-13,2.17766044601157e-13
51,2.49279166147594e-27,2.59848303757723e-19,3.56248140501116e-16,1.09738553120431e-14,6.20890088110273e-14,1.47770603237238e-13,2.17316335453353e-13,2.40411831563887e-13,2.22834916576935e-13,1.84198785225155e-13
