"abs.low","erg.low","abs.high","erg.high"
0,121,0,121
0,120.135521617155,0,120.135521617155
0,118.798541353206,0,118.798541353206
0,117.48063309293,0,117.48063309293
0,116.181418354657,0,116.181418354657
0,114.900528935724,0,114.900528935724
0,113.637606544266,0,113.637606544266
0,112.392302447884,0,112.392302447884
0,111.16427713824,0,111.16427713824
0,109.953200010701,0,109.953200010701
0,108.75874905823,0,108.75874905823
0,107.580610578728,0,107.580610578728
0,106.418478895128,0,106.418478895128
0,105.272056087544,0,105.272056087544
0,104.141051736842,0,104.141051736842
0,103.02518267905,0,103.02518267905
0,101.92417277002,0,101.92417277002
0,100.837752659833,0,100.837752659833
0,99.7656595764414,0,99.7656595764414
0,98.7076371180895,0,98.7076371180895
0,97.6634350540601,0,97.6634350540601
0,96.6328091333462,0,96.6328091333462
0,95.615520900851,0,95.615520900851
0,94.6113375207515,0,94.6113375207515
0,93.620031606679,0,93.620031606679
0,92.6413810583902,0,92.6413810583902
0,91.6751689046207,0,91.6751689046207
0,90.7211831518313,0,90.7211831518313
0,89.779216638571,0,89.779216638571
0,88.8490668951993,0,88.8490668951993
7.90124446923674e-54,87.9305360087204,2.94459258409813e-53,87.9305360087204
2.32499865794763e-52,87.0234304925002,8.66156945768725e-52,87.0234304925002
3.48436781408396e-51,86.1275611606444,1.29759420014104e-50,86.1275611606444
3.5589322377438e-50,85.2427430068318,1.32487308911411e-49,85.2427430068318
2.79273877384462e-49,84.3687950874063,1.03925988758346e-48,84.3687950874063
1.79781536794687e-48,83.5055404085403,6.68772558303461e-48,83.5055404085403
9.89484994225169e-48,82.6528058172946,3.67944778442101e-47,82.6528058172946
4.78985106563149e-47,81.8104218964073,1.78047676914256e-46,81.8104218964073
2.0816463425588e-46,80.9782228626526,7.73504879176766e-46,80.9782228626526
8.24916827185222e-46,80.1560464686196,3.06414357866916e-45,80.1560464686196
3.0171262112357e-45,79.3437339077686,1.1203052130726e-44,79.3437339077686
1.02840224205613e-44,78.541129722629,3.81725307607004e-44,78.541129722629
3.29267159171627e-44,77.7480817160095,1.22175062091117e-43,77.7480817160095
9.96764221940271e-44,76.9644408651,3.69720874222077e-43,76.9644408651
2.86869332175922e-43,76.1900612383465,1.06368786078526e-42,76.1900612383465
