"","id","absorption"
"1",21,1.07131115017112e-07
"2",22,1.24468768574719e-07
"3",23,1.40874577119401e-07
"4",24,1.55737806004979e-07
"5",25,1.71393433218785e-07
"6",26,1.85961011191882e-07
"7",27,1.97783661646571e-07
"8",28,2.10832062049853e-07
"9",29,2.22570554412151e-07
"10",30,2.33876374040047e-07
"11",31,2.44886163755244e-07
"12",32,2.54182391101282e-07
"13",33,2.65185893942065e-07
"14",34,2.73896935232281e-07
